Rank,Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy,Model
0,Mean,0.8628318584070795,0.8586535253783257,0.894047619047619,0.8763505722129725,ADASYN
1,Mean,0.8429203539823009,0.8393884841188279,0.8677976190476191,0.8535930515832234,SMOTE-ENN
2,Mean,0.8473451327433628,0.8446980263915259,0.8582142857142857,0.851456156052906,SMOTE
3,Mean,0.8460176991150442,0.8421402456467584,0.8604166666666668,0.8512784561567125,RandomOverSampler
4,Mean,0.8761061946902655,0.8795993174977571,0.7798809523809525,0.8297401349393546,Borderline SMOTE
5,Mean,0.9424778761061948,0.9809281706931464,0.1966666666666666,0.5887974186799066,Before SMOTE
