Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9026548672566371,0.9345794392523364,0.3333333333333333,0.6339563862928349
2.0,0.9292035398230089,0.9813084112149533,0.0,0.49065420560747663
3.0,0.911504424778761,0.9444444444444444,0.2,0.5722222222222222
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.8938053097345132,0.9619047619047619,0.0,0.48095238095238096
6.0,0.9823008849557522,0.9823008849557522,0.0,0.4911504424778761
7.0,0.8938053097345132,0.9528301886792453,0.0,0.47641509433962265
8.0,0.9292035398230089,0.9626168224299065,0.3333333333333333,0.6479750778816199
9.0,0.9380530973451328,1.0,0.125,0.5625
10.0,0.9557522123893806,0.972972972972973,0.0,0.4864864864864865
11.0,0.9911504424778761,1.0,0.0,0.5
12.0,0.911504424778761,0.970873786407767,0.3,0.6354368932038835
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9292035398230089,0.9541284403669725,0.25,0.6020642201834863
15.0,0.9292035398230089,0.9719626168224299,0.16666666666666666,0.5693146417445483
16.0,0.9292035398230089,0.963302752293578,0.0,0.481651376146789
17.0,0.911504424778761,0.9439252336448598,0.3333333333333333,0.6386292834890965
18.0,0.9292035398230089,1.0,0.0,0.5
19.0,0.8938053097345132,0.9252336448598131,0.3333333333333333,0.6292834890965732
20.0,0.9469026548672567,0.9814814814814815,0.2,0.5907407407407408
Mean,0.9300884955752211,0.9701932940865635,0.12875,0.5494716470432819
,,,,
1.0,0.8495575221238938,0.8598130841121495,0.6666666666666666,0.7632398753894081
2.0,0.8672566371681416,0.8598130841121495,1.0,0.9299065420560748
3.0,0.911504424778761,0.9166666666666666,0.8,0.8583333333333334
4.0,0.8495575221238938,0.8411214953271028,1.0,0.9205607476635513
5.0,0.7964601769911505,0.8,0.75,0.775
6.0,0.8672566371681416,0.8672566371681416,0.0,0.4336283185840708
7.0,0.8672566371681416,0.8773584905660378,0.7142857142857143,0.795822102425876
8.0,0.831858407079646,0.822429906542056,1.0,0.9112149532710281
9.0,0.8495575221238938,0.8476190476190476,0.875,0.8613095238095239
10.0,0.8584070796460177,0.8558558558558559,1.0,0.927927927927928
11.0,0.8584070796460177,0.8571428571428571,1.0,0.9285714285714286
12.0,0.7876106194690266,0.7766990291262136,0.9,0.8383495145631068
13.0,0.911504424778761,0.9065420560747663,1.0,0.9532710280373832
14.0,0.8230088495575221,0.8256880733944955,0.75,0.7878440366972477
15.0,0.831858407079646,0.8317757009345794,0.8333333333333334,0.8325545171339563
16.0,0.8938053097345132,0.8899082568807339,1.0,0.944954128440367
17.0,0.7787610619469026,0.7663551401869159,1.0,0.8831775700934579
18.0,0.7699115044247787,0.7619047619047619,0.875,0.8184523809523809
19.0,0.8495575221238938,0.8411214953271028,1.0,0.9205607476635513
20.0,0.8938053097345132,0.8888888888888888,1.0,0.9444444444444444
Mean,0.8473451327433628,0.8446980263915259,0.8582142857142857,0.851456156052906
