Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9469026548672567,1.0,0.0,0.5
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9557522123893806,1.0,0.0,0.5
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.9292035398230089,1.0,0.0,0.5
6.0,1.0,1.0,0.0,0.5
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,1.0,0.0,0.5
9.0,0.9292035398230089,1.0,0.0,0.5
10.0,0.9823008849557522,1.0,0.0,0.5
11.0,0.9911504424778761,1.0,0.0,0.5
12.0,0.8938053097345132,0.9805825242718447,0.0,0.49029126213592233
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9646017699115044,1.0,0.0,0.5
15.0,0.9469026548672567,1.0,0.0,0.5
16.0,0.9646017699115044,1.0,0.0,0.5
17.0,0.9469026548672567,1.0,0.0,0.5
18.0,0.9292035398230089,1.0,0.0,0.5
19.0,0.9469026548672567,1.0,0.0,0.5
20.0,0.9557522123893806,1.0,0.0,0.5
Mean,0.9504424778761061,0.9990291262135923,0.0,0.49951456310679615
,,,,
1.0,0.8495575221238938,0.8598130841121495,0.6666666666666666,0.7632398753894081
2.0,0.8761061946902655,0.8691588785046729,1.0,0.9345794392523364
3.0,0.911504424778761,0.9074074074074074,1.0,0.9537037037037037
4.0,0.8230088495575221,0.8130841121495327,1.0,0.9065420560747663
5.0,0.8230088495575221,0.8095238095238095,1.0,0.9047619047619048
6.0,0.9203539823008849,0.9203539823008849,0.0,0.46017699115044247
7.0,0.8938053097345132,0.9056603773584906,0.7142857142857143,0.8099730458221024
8.0,0.831858407079646,0.822429906542056,1.0,0.9112149532710281
9.0,0.8849557522123894,0.8761904761904762,1.0,0.9380952380952381
10.0,0.8849557522123894,0.8828828828828829,1.0,0.9414414414414414
11.0,0.8849557522123894,0.8839285714285714,1.0,0.9419642857142857
12.0,0.8495575221238938,0.8349514563106796,1.0,0.9174757281553398
13.0,0.911504424778761,0.9065420560747663,1.0,0.9532710280373832
14.0,0.8672566371681416,0.8715596330275229,0.75,0.8107798165137614
15.0,0.8407079646017699,0.8317757009345794,1.0,0.9158878504672897
16.0,0.8938053097345132,0.8899082568807339,1.0,0.944954128440367
17.0,0.7787610619469026,0.7663551401869159,1.0,0.8831775700934579
18.0,0.8230088495575221,0.8285714285714286,0.75,0.7892857142857144
19.0,0.8495575221238938,0.8411214953271028,1.0,0.9205607476635513
20.0,0.8584070796460177,0.8518518518518519,1.0,0.9259259259259259
Mean,0.8628318584070795,0.8586535253783257,0.894047619047619,0.8763505722129725
