Rank,Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy,Model
0,Mean,0.8915929203539823,0.9117474920613858,0.5075000000000001,0.709623746030693,SMOTE-ENN
1,Mean,0.9163716814159294,0.9428872229437314,0.4191666666666666,0.6810269448051991,ADASYN
2,Mean,0.9261061946902656,0.9568409952933944,0.3566666666666666,0.6567538309800305,SMOTE
3,Mean,0.9327433628318584,0.9674047778940824,0.2487499999999999,0.6080773889470411,Borderline SMOTE
4,Mean,0.9464601769911504,0.9884268763609948,0.1404166666666666,0.5644217715138308,RandomOverSampler
5,Mean,0.9522123893805308,0.995836419697401,0.09125,0.5435432098487005,Before SMOTE
