Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9469026548672567,1.0,0.0,0.5
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9557522123893806,0.9907407407407407,0.2,0.5953703703703703
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.9292035398230089,1.0,0.0,0.5
6.0,0.9823008849557522,0.9823008849557522,0.0,0.4911504424778761
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,1.0,0.0,0.5
9.0,0.9292035398230089,1.0,0.0,0.5
10.0,0.9734513274336283,0.990990990990991,0.0,0.4954954954954955
11.0,0.9911504424778761,1.0,0.0,0.5
12.0,0.911504424778761,1.0,0.0,0.5
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9646017699115044,1.0,0.0,0.5
15.0,0.9469026548672567,1.0,0.0,0.5
16.0,0.9646017699115044,0.9908256880733946,0.25,0.6204128440366973
17.0,0.9380530973451328,0.9906542056074766,0.0,0.4953271028037383
18.0,0.9026548672566371,0.9714285714285714,0.0,0.4857142857142857
19.0,0.9380530973451328,0.9813084112149533,0.16666666666666666,0.57398753894081
20.0,0.9469026548672567,0.9907407407407407,0.0,0.49537037037037035
Mean,0.9473451327433627,0.994449511687631,0.030833333333333334,0.5126414225104823
,,,,
1.0,0.9469026548672567,0.9813084112149533,0.3333333333333333,0.6573208722741433
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9646017699115044,0.9907407407407407,0.4,0.6953703703703704
4.0,0.9469026548672567,0.9906542056074766,0.16666666666666666,0.5786604361370716
5.0,0.9380530973451328,1.0,0.125,0.5625
6.0,1.0,1.0,0.0,0.5
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,0.9906542056074766,0.16666666666666666,0.5786604361370716
9.0,0.9380530973451328,1.0,0.125,0.5625
10.0,0.9557522123893806,0.963963963963964,0.5,0.7319819819819819
11.0,0.9823008849557522,0.9910714285714286,0.0,0.4955357142857143
12.0,0.911504424778761,1.0,0.0,0.5
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9646017699115044,0.9908256880733946,0.25,0.6204128440366973
15.0,0.9292035398230089,0.9813084112149533,0.0,0.49065420560747663
16.0,0.9557522123893806,0.981651376146789,0.25,0.6158256880733946
17.0,0.911504424778761,0.9532710280373832,0.16666666666666666,0.5599688473520249
18.0,0.9203539823008849,0.9809523809523809,0.125,0.5529761904761905
19.0,0.9380530973451328,0.9906542056074766,0.0,0.4953271028037383
20.0,0.9469026548672567,0.9814814814814815,0.2,0.5907407407407408
Mean,0.9464601769911504,0.9884268763609949,0.14041666666666666,0.5644217715138308
