Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9469026548672567,1.0,0.0,0.5
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9557522123893806,0.9907407407407407,0.2,0.5953703703703703
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.9292035398230089,1.0,0.0,0.5
6.0,0.9823008849557522,0.9823008849557522,0.0,0.4911504424778761
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,1.0,0.0,0.5
9.0,0.9292035398230089,1.0,0.0,0.5
10.0,0.9734513274336283,0.990990990990991,0.0,0.4954954954954955
11.0,0.9911504424778761,1.0,0.0,0.5
12.0,0.911504424778761,1.0,0.0,0.5
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9646017699115044,1.0,0.0,0.5
15.0,0.9469026548672567,1.0,0.0,0.5
16.0,0.9646017699115044,1.0,0.0,0.5
17.0,0.9380530973451328,0.9906542056074766,0.0,0.4953271028037383
18.0,0.9203539823008849,0.9904761904761905,0.0,0.49523809523809526
19.0,0.9469026548672567,1.0,0.0,0.5
20.0,0.9557522123893806,1.0,0.0,0.5
Mean,0.9491150442477876,0.9972581506385575,0.01,0.5036290753192788
,,,,
1.0,0.9292035398230089,0.9532710280373832,0.5,0.7266355140186915
2.0,0.9292035398230089,0.9813084112149533,0.0,0.49065420560747663
3.0,0.9292035398230089,0.9444444444444444,0.6,0.7722222222222221
4.0,0.9557522123893806,0.9813084112149533,0.5,0.7406542056074766
5.0,0.8938053097345132,0.9333333333333333,0.375,0.6541666666666667
6.0,0.9911504424778761,0.9911504424778761,0.0,0.49557522123893805
7.0,0.9292035398230089,0.9905660377358491,0.0,0.49528301886792453
8.0,0.9380530973451328,0.9813084112149533,0.16666666666666666,0.57398753894081
9.0,0.9203539823008849,0.9714285714285714,0.25,0.6107142857142858
10.0,0.9469026548672567,0.954954954954955,0.5,0.7274774774774775
11.0,0.9646017699115044,0.9732142857142857,0.0,0.48660714285714285
12.0,0.9026548672566371,0.9902912621359223,0.0,0.49514563106796117
13.0,0.9380530973451328,0.9906542056074766,0.0,0.4953271028037383
14.0,0.9469026548672567,0.9724770642201835,0.25,0.6112385321100917
15.0,0.8849557522123894,0.9158878504672897,0.3333333333333333,0.6246105919003115
16.0,0.9557522123893806,0.9724770642201835,0.5,0.7362385321100917
17.0,0.8761061946902655,0.9158878504672897,0.16666666666666666,0.5412772585669782
18.0,0.9380530973451328,0.9714285714285714,0.5,0.7357142857142858
19.0,0.9380530973451328,0.9719626168224299,0.3333333333333333,0.6526479750778816
20.0,0.9469026548672567,0.9907407407407407,0.0,0.49537037037037035
Mean,0.9327433628318584,0.9674047778940823,0.24874999999999997,0.6080773889470411
