Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9469026548672567,1.0,0.0,0.5
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9557522123893806,0.9907407407407407,0.2,0.5953703703703703
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.9292035398230089,1.0,0.0,0.5
6.0,0.9823008849557522,0.9823008849557522,0.0,0.4911504424778761
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,1.0,0.0,0.5
9.0,0.9292035398230089,1.0,0.0,0.5
10.0,0.9734513274336283,0.990990990990991,0.0,0.4954954954954955
11.0,0.9911504424778761,1.0,0.0,0.5
12.0,0.911504424778761,1.0,0.0,0.5
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9557522123893806,0.9908256880733946,0.0,0.4954128440366973
15.0,0.9469026548672567,1.0,0.0,0.5
16.0,0.9646017699115044,1.0,0.0,0.5
17.0,0.9380530973451328,0.9906542056074766,0.0,0.4953271028037383
18.0,0.9203539823008849,0.9904761904761905,0.0,0.49523809523809526
19.0,0.9469026548672567,1.0,0.0,0.5
20.0,0.9557522123893806,1.0,0.0,0.5
Mean,0.9486725663716813,0.9967994350422271,0.01,0.5033997175211137
,,,,
1.0,0.9292035398230089,0.9532710280373832,0.5,0.7266355140186915
2.0,0.9026548672566371,0.9532710280373832,0.0,0.4766355140186916
3.0,0.9292035398230089,0.9444444444444444,0.6,0.7722222222222221
4.0,0.9380530973451328,0.9626168224299065,0.5,0.7313084112149533
5.0,0.9026548672566371,0.9523809523809523,0.25,0.6011904761904762
6.0,1.0,1.0,0.0,0.5
7.0,0.9203539823008849,0.9811320754716981,0.0,0.49056603773584906
8.0,0.9292035398230089,0.9719626168224299,0.16666666666666666,0.5693146417445483
9.0,0.9292035398230089,0.9809523809523809,0.25,0.6154761904761905
10.0,0.9203539823008849,0.9279279279279279,0.5,0.7139639639639639
11.0,0.911504424778761,0.9107142857142857,1.0,0.9553571428571428
12.0,0.911504424778761,0.9805825242718447,0.2,0.5902912621359223
13.0,0.9469026548672567,0.9906542056074766,0.16666666666666666,0.5786604361370716
14.0,0.9557522123893806,0.9724770642201835,0.5,0.7362385321100917
15.0,0.8849557522123894,0.897196261682243,0.6666666666666666,0.7819314641744548
16.0,0.9380530973451328,0.9541284403669725,0.5,0.7270642201834863
17.0,0.8849557522123894,0.9065420560747663,0.5,0.7032710280373832
18.0,0.9203539823008849,0.9523809523809523,0.5,0.7261904761904762
19.0,0.9380530973451328,0.9719626168224299,0.3333333333333333,0.6526479750778816
20.0,0.9292035398230089,0.9722222222222222,0.0,0.4861111111111111
Mean,0.9261061946902656,0.9568409952933943,0.35666666666666663,0.6567538309800305
