Rank,Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy,Model
0,Mean,0.7358407079646017,0.7443210551435057,0.7200805494684391,0.7322008023059724,ADASYN
1,Mean,0.7389380530973451,0.7569292291056489,0.7057264315570997,0.7313278303313743,RandomOverSampler
2,Mean,0.7362831858407081,0.7503584770308129,0.7103964171542481,0.7303774470925305,SMOTE
3,Mean,0.7283185840707965,0.7293902767520852,0.7242330539193479,0.7268116653357166,Borderline SMOTE
4,Mean,0.6867256637168142,0.6196532017049051,0.8071184844547563,0.7133858430798308,SMOTE-ENN
5,Mean,0.7566371681415929,0.8898893514233963,0.5149011245883678,0.702395238005882,Before SMOTE
