Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9380530973451328,0.9626168224299065,0.5,0.7313084112149533
2.0,0.9646017699115044,1.0,0.3333333333333333,0.6666666666666666
3.0,0.9292035398230089,0.9537037037037037,0.4,0.6768518518518518
4.0,0.9469026548672567,0.9906542056074766,0.16666666666666666,0.5786604361370716
5.0,0.9380530973451328,0.9904761904761905,0.25,0.6202380952380953
6.0,1.0,1.0,0.0,0.5
7.0,0.9292035398230089,0.9905660377358491,0.0,0.49528301886792453
8.0,0.9646017699115044,0.9906542056074766,0.5,0.7453271028037383
9.0,0.9469026548672567,1.0,0.25,0.625
10.0,0.9557522123893806,0.963963963963964,0.5,0.7319819819819819
11.0,0.9734513274336283,0.9821428571428571,0.0,0.49107142857142855
12.0,0.9292035398230089,1.0,0.2,0.6
13.0,0.9557522123893806,1.0,0.16666666666666666,0.5833333333333334
14.0,0.9646017699115044,0.9908256880733946,0.25,0.6204128440366973
15.0,0.9469026548672567,0.9813084112149533,0.3333333333333333,0.6573208722741433
16.0,0.9646017699115044,0.981651376146789,0.5,0.7408256880733946
17.0,0.9292035398230089,0.9439252336448598,0.6666666666666666,0.8052959501557633
18.0,0.9469026548672567,1.0,0.25,0.625
19.0,0.9380530973451328,0.9813084112149533,0.16666666666666666,0.57398753894081
20.0,0.9557522123893806,1.0,0.0,0.5
Mean,0.9508849557522124,0.9851898553481186,0.27166666666666667,0.6284282610073927
,,,,
1.0,0.8761061946902655,0.8691588785046729,1.0,0.9345794392523364
2.0,0.9557522123893806,0.9532710280373832,1.0,0.9766355140186915
3.0,0.8849557522123894,0.8981481481481481,0.6,0.749074074074074
4.0,0.9380530973451328,0.9439252336448598,0.8333333333333334,0.8886292834890965
5.0,0.9026548672566371,0.9047619047619048,0.875,0.8898809523809523
6.0,0.9823008849557522,0.9823008849557522,0.0,0.4911504424778761
7.0,0.911504424778761,0.9528301886792453,0.2857142857142857,0.6192722371967655
8.0,0.8849557522123894,0.8785046728971962,1.0,0.9392523364485981
9.0,0.9380530973451328,0.9619047619047619,0.625,0.793452380952381
10.0,0.9292035398230089,0.9369369369369369,0.5,0.7184684684684685
11.0,0.911504424778761,0.9107142857142857,1.0,0.9553571428571428
12.0,0.8849557522123894,0.9223300970873787,0.5,0.7111650485436893
13.0,0.9734513274336283,0.9906542056074766,0.6666666666666666,0.8286604361370716
14.0,0.9292035398230089,0.944954128440367,0.5,0.7224770642201834
15.0,0.8849557522123894,0.8878504672897196,0.8333333333333334,0.8605919003115265
16.0,0.9203539823008849,0.926605504587156,0.75,0.838302752293578
17.0,0.8495575221238938,0.8504672897196262,0.8333333333333334,0.8419003115264798
18.0,0.9203539823008849,0.9428571428571428,0.625,0.7839285714285714
19.0,0.9026548672566371,0.9158878504672897,0.6666666666666666,0.7912772585669782
20.0,0.9292035398230089,0.9537037037037037,0.4,0.6768518518518518
Mean,0.9154867256637168,0.9263883656972502,0.6747023809523809,0.8005453733248157
