Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9469026548672567,0.9906542056074766,0.16666666666666666,0.5786604361370716
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9646017699115044,1.0,0.2,0.6
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.9292035398230089,1.0,0.0,0.5
6.0,1.0,1.0,0.0,0.5
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,1.0,0.0,0.5
9.0,0.9292035398230089,1.0,0.0,0.5
10.0,0.9734513274336283,0.990990990990991,0.0,0.4954954954954955
11.0,0.9823008849557522,0.9910714285714286,0.0,0.4955357142857143
12.0,0.911504424778761,1.0,0.0,0.5
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9646017699115044,1.0,0.0,0.5
15.0,0.9469026548672567,1.0,0.0,0.5
16.0,0.9734513274336283,1.0,0.25,0.625
17.0,0.9469026548672567,1.0,0.0,0.5
18.0,0.9203539823008849,0.9904761904761905,0.0,0.49523809523809526
19.0,0.9557522123893806,1.0,0.16666666666666666,0.5833333333333334
20.0,0.9557522123893806,1.0,0.0,0.5
Mean,0.9513274336283185,0.9981596407823042,0.03916666666666667,0.5186631537244855
,,,,
1.0,0.8407079646017699,0.8504672897196262,0.6666666666666666,0.7585669781931463
2.0,0.8761061946902655,0.8691588785046729,1.0,0.9345794392523364
3.0,0.911504424778761,0.9166666666666666,0.8,0.8583333333333334
4.0,0.8849557522123894,0.8785046728971962,1.0,0.9392523364485981
5.0,0.8761061946902655,0.8666666666666667,1.0,0.9333333333333333
6.0,0.9380530973451328,0.9380530973451328,0.0,0.4690265486725664
7.0,0.8761061946902655,0.8867924528301887,0.7142857142857143,0.8005390835579516
8.0,0.8849557522123894,0.8785046728971962,1.0,0.9392523364485981
9.0,0.9026548672566371,0.9142857142857143,0.75,0.8321428571428571
10.0,0.8053097345132744,0.8108108108108109,0.5,0.6554054054054055
11.0,0.8672566371681416,0.8660714285714286,1.0,0.9330357142857143
12.0,0.9203539823008849,0.912621359223301,1.0,0.9563106796116505
13.0,0.9026548672566371,0.9065420560747663,0.8333333333333334,0.8699376947040498
14.0,0.8938053097345132,0.908256880733945,0.5,0.7041284403669725
15.0,0.8495575221238938,0.8411214953271028,1.0,0.9205607476635513
16.0,0.8938053097345132,0.8990825688073395,0.75,0.8245412844036697
17.0,0.8141592920353983,0.8037383177570093,1.0,0.9018691588785046
18.0,0.7787610619469026,0.7904761904761904,0.625,0.7077380952380952
19.0,0.8672566371681416,0.8598130841121495,1.0,0.9299065420560748
20.0,0.8495575221238938,0.8518518518518519,0.8,0.825925925925926
Mean,0.8716814159292035,0.8724743077779479,0.7969642857142858,0.8347192967461169
