Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9469026548672567,0.9906542056074766,0.16666666666666666,0.5786604361370716
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9646017699115044,1.0,0.2,0.6
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.9292035398230089,1.0,0.0,0.5
6.0,1.0,1.0,0.0,0.5
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,1.0,0.0,0.5
9.0,0.9292035398230089,1.0,0.0,0.5
10.0,0.9734513274336283,0.990990990990991,0.0,0.4954954954954955
11.0,0.9823008849557522,0.9910714285714286,0.0,0.4955357142857143
12.0,0.911504424778761,1.0,0.0,0.5
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9646017699115044,1.0,0.0,0.5
15.0,0.9469026548672567,1.0,0.0,0.5
16.0,0.9734513274336283,1.0,0.25,0.625
17.0,0.9469026548672567,1.0,0.0,0.5
18.0,0.9203539823008849,0.9904761904761905,0.0,0.49523809523809526
19.0,0.9557522123893806,1.0,0.16666666666666666,0.5833333333333334
20.0,0.9557522123893806,1.0,0.0,0.5
Mean,0.9513274336283185,0.9981596407823042,0.03916666666666667,0.5186631537244855
,,,,
1.0,0.8495575221238938,0.8504672897196262,0.8333333333333334,0.8419003115264798
2.0,0.8672566371681416,0.8598130841121495,1.0,0.9299065420560748
3.0,0.9203539823008849,0.9166666666666666,1.0,0.9583333333333333
4.0,0.911504424778761,0.9065420560747663,1.0,0.9532710280373832
5.0,0.8584070796460177,0.8476190476190476,1.0,0.9238095238095239
6.0,0.9380530973451328,0.9380530973451328,0.0,0.4690265486725664
7.0,0.8761061946902655,0.8962264150943396,0.5714285714285714,0.7338274932614555
8.0,0.8849557522123894,0.8785046728971962,1.0,0.9392523364485981
9.0,0.8938053097345132,0.9047619047619048,0.75,0.8273809523809523
10.0,0.8141592920353983,0.8198198198198198,0.5,0.6599099099099099
11.0,0.8672566371681416,0.8660714285714286,1.0,0.9330357142857143
12.0,0.8938053097345132,0.883495145631068,1.0,0.941747572815534
13.0,0.9026548672566371,0.9065420560747663,0.8333333333333334,0.8699376947040498
14.0,0.8938053097345132,0.908256880733945,0.5,0.7041284403669725
15.0,0.831858407079646,0.8317757009345794,0.8333333333333334,0.8325545171339563
16.0,0.8584070796460177,0.8623853211009175,0.75,0.8061926605504588
17.0,0.8053097345132744,0.794392523364486,1.0,0.897196261682243
18.0,0.7699115044247787,0.780952380952381,0.625,0.7029761904761904
19.0,0.8584070796460177,0.8504672897196262,1.0,0.9252336448598131
20.0,0.8672566371681416,0.8796296296296297,0.6,0.7398148148148148
Mean,0.8681415929203539,0.8691221205411738,0.7898214285714287,0.8294717745563013
